"YEAR","POWER_HANGYE","POWER_TYPE","SUM(*)"
2019.0,"城管","行政强制",84.0
2019.0,"公安","行政强制",91.0
2019.0,"规自","行政强制",43.0
2019.0,"交通","行政强制",18.0
2019.0,"金融","行政强制",1.0
2019.0,"民政","行政强制",49.0
2019.0,"气象","行政强制",3.0
2019.0,"人社","行政强制",7.0
2019.0,"审计","行政强制",36.0
2019.0,"生态","行政强制",10.0
2019.0,"水务","行政强制",157.0
2019.0,"司法","行政强制",1.0
2019.0,"卫生","行政强制",33.0
2019.0,"文体","行政强制",13.0
2019.0,"应急","行政强制",59.0
2019.0,"住建","行政强制",3.0
2019.0,,"行政强制",22.0
2016.0,"发改","行政确认",2.0
2016.0,"市监","行政确认",0.0
2017.0,"发改","行政确认",2.0
2017.0,"市监","行政确认",0.0
2018.0,"发改","行政确认",2.0
2018.0,"市监","行政确认",0.0
2019.0,"发改","行政确认",2.0
2019.0,"市监","行政确认",1.0
2016.0,"财政","行政许可",1.0
2016.0,"发改","行政许可",2.0
2016.0,"公安","行政许可",3.0
2016.0,"金融","行政许可",0.0
2016.0,"民政","行政许可",6.0
2016.0,"民宗","行政许可",1.0
2016.0,"事单","行政许可",0.0
2016.0,"市监","行政许可",0.0
2016.0,"应急","行政许可",3.0
2016.0,"住建","行政许可",5.0
2017.0,"财政","行政许可",1.0
2017.0,"发改","行政许可",2.0
2017.0,"公安","行政许可",3.0
2017.0,"金融","行政许可",5.0
2017.0,"民政","行政许可",6.0
2017.0,"民宗","行政许可",1.0
2017.0,"事单","行政许可",0.0
2017.0,"市监","行政许可",0.0
2017.0,"应急","行政许可",3.0
2017.0,"住建","行政许可",5.0
2018.0,"财政","行政许可",1.0
2018.0,"发改","行政许可",6.0
2018.0,"公安","行政许可",3.0
2018.0,"金融","行政许可",5.0
2018.0,"民政","行政许可",6.0
2018.0,"民宗","行政许可",20.0
2018.0,"事单","行政许可",0.0
2018.0,"市监","行政许可",0.0
2018.0,"应急","行政许可",3.0
2018.0,"住建","行政许可",5.0
2019.0,"财政","行政许可",1.0
2019.0,"发改","行政许可",6.0
2019.0,"公安","行政许可",3.0
2019.0,"金融","行政许可",5.0
2019.0,"民政","行政许可",6.0
2019.0,"民宗","行政许可",20.0
2019.0,"事单","行政许可",3.0
2019.0,"市监","行政许可",2.0
2019.0,"应急","行政许可",12.0
2019.0,"住建","行政许可",9.0
