"YEAR","PEO_ENFORCE_HANGYE","ENFORCEPEO_POLITIC","SUM(*)"
2018.0,"市监","民主党派",25.0
2018.0,"水务","民主党派",4.0
2018.0,"司法","民主党派",3.0
2018.0,"统计","民主党派",4.0
2018.0,"卫生","民主党派",15.0
2018.0,"文体","民主党派",4.0
2018.0,"医疗","民主党派",2.0
2018.0,"应急","民主党派",9.0
2018.0,"住建","民主党派",19.0
2019.0,"财政","民主党派",8.0
2019.0,"城管","民主党派",8.0
2019.0,"工信","民主党派",3.0
2019.0,"规自","民主党派",11.0
2019.0,"交通","民主党派",15.0
2019.0,"教育","民主党派",1.0
2019.0,"科创","民主党派",3.0
2019.0,"民政","民主党派",3.0
2019.0,"人社","民主党派",3.0
2019.0,"审计","民主党派",12.0
2019.0,"生态","民主党派",8.0
2019.0,"市监","民主党派",25.0
2019.0,"水务","民主党派",4.0
2019.0,"司法","民主党派",3.0
2019.0,"统计","民主党派",4.0
2019.0,"卫生","民主党派",16.0
2019.0,"文体","民主党派",4.0
2019.0,"医疗","民主党派",2.0
2019.0,"应急","民主党派",10.0
2019.0,"住建","民主党派",20.0
2016.0,"保密","群众",0.0
2016.0,"财政","群众",0.0
2016.0,"城管","群众",0.0
2016.0,"档案","群众",0.0
2016.0,"发改","群众",0.0
2016.0,"工信","群众",0.0
2016.0,"规自","群众",0.0
2016.0,"交通","群众",14.0
2016.0,"教育","群众",0.0
2016.0,"科创","群众",0.0
2016.0,"民政","群众",0.0
2016.0,"民宗","群众",0.0
2016.0,"气象","群众",0.0
2016.0,"人社","群众",1.0
2016.0,"审计","群众",0.0
2016.0,"生态","群众",0.0
2016.0,"事单","群众",0.0
2016.0,"市监","群众",0.0
2016.0,"水务","群众",0.0
2016.0,"司法","群众",0.0
2016.0,"统计","群众",0.0
2016.0,"卫生","群众",0.0
2016.0,"文体","群众",0.0
2016.0,"烟草","群众",0.0
2016.0,"医疗","群众",0.0
2016.0,"应急","群众",0.0
2016.0,"住建","群众",0.0
2017.0,"保密","群众",0.0
2017.0,"财政","群众",15.0
2017.0,"城管","群众",60.0
2017.0,"档案","群众",0.0
2017.0,"发改","群众",1.0
2017.0,"工信","群众",9.0
2017.0,"规自","群众",83.0
2017.0,"交通","群众",59.0
2017.0,"教育","群众",4.0
2017.0,"科创","群众",6.0
2017.0,"民政","群众",10.0
2017.0,"民宗","群众",1.0
2017.0,"气象","群众",2.0
2017.0,"人社","群众",65.0
2017.0,"审计","群众",38.0
2017.0,"生态","群众",92.0
2017.0,"事单","群众",1.0
2017.0,"市监","群众",381.0
2017.0,"水务","群众",96.0
2017.0,"司法","群众",1.0
2017.0,"统计","群众",14.0
2017.0,"卫生","群众",155.0
2017.0,"文体","群众",19.0
2017.0,"烟草","群众",1.0
2017.0,"医疗","群众",9.0
2017.0,"应急","群众",386.0
2017.0,"住建","群众",158.0
2018.0,"保密","群众",1.0
2018.0,"财政","群众",29.0
2018.0,"城管","群众",88.0
2018.0,"档案","群众",0.0
2018.0,"发改","群众",3.0
2018.0,"工信","群众",15.0
2018.0,"规自","群众",103.0
2018.0,"交通","群众",93.0
2018.0,"教育","群众",9.0
2018.0,"科创","群众",8.0
2018.0,"民政","群众",13.0
2018.0,"民宗","群众",2.0
2018.0,"气象","群众",2.0
2018.0,"人社","群众",101.0
2018.0,"审计","群众",46.0
2018.0,"生态","群众",115.0
2018.0,"事单","群众",1.0
2018.0,"市监","群众",507.0
2018.0,"水务","群众",134.0
2018.0,"司法","群众",6.0
2018.0,"统计","群众",15.0
2018.0,"卫生","群众",204.0
2018.0,"文体","群众",28.0
2018.0,"烟草","群众",1.0
2018.0,"医疗","群众",15.0
2018.0,"应急","群众",840.0
2018.0,"住建","群众",219.0
2019.0,"保密","群众",1.0
2019.0,"财政","群众",34.0
2019.0,"城管","群众",100.0
2019.0,"档案","群众",1.0
2019.0,"发改","群众",4.0
2019.0,"工信","群众",15.0
2019.0,"规自","群众",113.0
2019.0,"交通","群众",134.0
2019.0,"教育","群众",15.0
2019.0,"科创","群众",8.0
2019.0,"民政","群众",15.0
2019.0,"民宗","群众",3.0
2019.0,"气象","群众",2.0
2019.0,"人社","群众",118.0
2019.0,"审计","群众",54.0
2019.0,"生态","群众",115.0
2019.0,"事单","群众",1.0
2019.0,"市监","群众",524.0
2019.0,"水务","群众",141.0
2019.0,"司法","群众",10.0
2019.0,"统计","群众",26.0
2019.0,"卫生","群众",216.0
2019.0,"文体","群众",28.0
2019.0,"烟草","群众",1.0
2019.0,"医疗","群众",25.0
2019.0,"应急","群众",893.0
2019.0,"住建","群众",269.0
2016.0,"保密","中共党员",0.0
2016.0,"财政","中共党员",0.0
2016.0,"城管","中共党员",0.0
2016.0,"档案","中共党员",0.0
2016.0,"发改","中共党员",0.0
2016.0,"工信","中共党员",0.0
2016.0,"规自","中共党员",0.0
2016.0,"交通","中共党员",50.0
2016.0,"教育","中共党员",0.0
2016.0,"金融","中共党员",0.0
2016.0,"科创","中共党员",0.0
2016.0,"民政","中共党员",0.0
2016.0,"民宗","中共党员",0.0
2016.0,"气象","中共党员",0.0
2016.0,"人社","中共党员",3.0
2016.0,"审计","中共党员",0.0
2016.0,"生态","中共党员",0.0
2016.0,"事单","中共党员",0.0
2016.0,"市监","中共党员",0.0
2016.0,"水务","中共党员",0.0
2016.0,"司法","中共党员",0.0
2016.0,"统计","中共党员",0.0
2016.0,"退役","中共党员",0.0
2016.0,"卫生","中共党员",0.0
2016.0,"文体","中共党员",0.0
2016.0,"烟草","中共党员",0.0
2016.0,"医疗","中共党员",0.0
2016.0,"应急","中共党员",0.0
2016.0,"住建","中共党员",0.0
2017.0,"保密","中共党员",3.0
2017.0,"财政","中共党员",99.0
2017.0,"城管","中共党员",334.0
2017.0,"档案","中共党员",4.0
2017.0,"发改","中共党员",4.0
2017.0,"工信","中共党员",23.0
2017.0,"规自","中共党员",458.0
2017.0,"交通","中共党员",310.0
2017.0,"教育","中共党员",117.0
2017.0,"金融","中共党员",0.0
2017.0,"科创","中共党员",26.0
2017.0,"民政","中共党员",49.0
2017.0,"民宗","中共党员",16.0
2017.0,"气象","中共党员",4.0
2017.0,"人社","中共党员",262.0
2017.0,"审计","中共党员",189.0
2017.0,"生态","中共党员",254.0
2017.0,"事单","中共党员",2.0
2017.0,"市监","中共党员",1760.0
2017.0,"水务","中共党员",260.0
2017.0,"司法","中共党员",17.0
2017.0,"统计","中共党员",93.0
2017.0,"退役","中共党员",0.0
2017.0,"卫生","中共党员",447.0
2017.0,"文体","中共党员",85.0
2017.0,"烟草","中共党员",3.0
2017.0,"医疗","中共党员",17.0
2017.0,"应急","中共党员",419.0
2017.0,"住建","中共党员",325.0
2018.0,"保密","中共党员",6.0
2018.0,"财政","中共党员",159.0
2018.0,"城管","中共党员",493.0
2018.0,"档案","中共党员",6.0
2018.0,"发改","中共党员",8.0
2018.0,"工信","中共党员",46.0
2018.0,"规自","中共党员",612.0
2018.0,"交通","中共党员",439.0
2018.0,"教育","中共党员",151.0
2018.0,"金融","中共党员",2.0
2018.0,"科创","中共党员",42.0
2018.0,"民政","中共党员",88.0
2018.0,"民宗","中共党员",30.0
2018.0,"气象","中共党员",4.0
2018.0,"人社","中共党员",340.0
2018.0,"审计","中共党员",208.0
2018.0,"生态","中共党员",306.0
2018.0,"事单","中共党员",11.0
2018.0,"市监","中共党员",2038.0
2018.0,"水务","中共党员",334.0
2018.0,"司法","中共党员",37.0
2018.0,"统计","中共党员",102.0
2018.0,"退役","中共党员",1.0
2018.0,"卫生","中共党员",555.0
2018.0,"文体","中共党员",103.0
2018.0,"烟草","中共党员",3.0
2018.0,"医疗","中共党员",30.0
2018.0,"应急","中共党员",624.0
2018.0,"住建","中共党员",460.0
2019.0,"保密","中共党员",6.0
2019.0,"财政","中共党员",179.0
2019.0,"城管","中共党员",548.0
2019.0,"档案","中共党员",8.0
2019.0,"发改","中共党员",9.0
2019.0,"工信","中共党员",53.0
2019.0,"规自","中共党员",658.0
2019.0,"交通","中共党员",588.0
2019.0,"教育","中共党员",168.0
2019.0,"金融","中共党员",2.0
2019.0,"科创","中共党员",43.0
2019.0,"民政","中共党员",103.0
2019.0,"民宗","中共党员",57.0
2019.0,"气象","中共党员",4.0
2019.0,"人社","中共党员",378.0
2019.0,"审计","中共党员",222.0
2019.0,"生态","中共党员",311.0
2019.0,"事单","中共党员",12.0
2019.0,"市监","中共党员",2066.0
2019.0,"水务","中共党员",364.0
2019.0,"司法","中共党员",54.0
2019.0,"统计","中共党员",125.0
2019.0,"退役","中共党员",2.0
2019.0,"卫生","中共党员",599.0
2019.0,"文体","中共党员",108.0
2019.0,"烟草","中共党员",3.0
2019.0,"医疗","中共党员",97.0
2019.0,"应急","中共党员",709.0
2019.0,"住建","中共党员",553.0
