"YEAR","PEO_ENFORCE_HANGYE","ENFORCEPEO_AGE","SUM(*)"
2016.0,"发改","51-60岁",0.0
2016.0,"工信","51-60岁",0.0
2016.0,"规自","51-60岁",0.0
2016.0,"交通","51-60岁",17.0
2016.0,"教育","51-60岁",0.0
2016.0,"科创","51-60岁",0.0
2016.0,"民政","51-60岁",0.0
2016.0,"民宗","51-60岁",0.0
2016.0,"人社","51-60岁",2.0
2016.0,"审计","51-60岁",0.0
2016.0,"生态","51-60岁",0.0
2016.0,"市监","51-60岁",0.0
2016.0,"水务","51-60岁",0.0
2016.0,"司法","51-60岁",0.0
2016.0,"统计","51-60岁",0.0
2016.0,"卫生","51-60岁",0.0
2016.0,"文体","51-60岁",0.0
2016.0,"医疗","51-60岁",0.0
2016.0,"应急","51-60岁",0.0
2016.0,"住建","51-60岁",0.0
2017.0,"财政","51-60岁",35.0
2017.0,"城管","51-60岁",73.0
2017.0,"档案","51-60岁",3.0
2017.0,"发改","51-60岁",0.0
2017.0,"工信","51-60岁",3.0
2017.0,"规自","51-60岁",85.0
2017.0,"交通","51-60岁",88.0
2017.0,"教育","51-60岁",41.0
2017.0,"科创","51-60岁",13.0
2017.0,"民政","51-60岁",10.0
2017.0,"民宗","51-60岁",1.0
2017.0,"人社","51-60岁",62.0
2017.0,"审计","51-60岁",47.0
2017.0,"生态","51-60岁",98.0
2017.0,"市监","51-60岁",664.0
2017.0,"水务","51-60岁",104.0
2017.0,"司法","51-60岁",0.0
2017.0,"统计","51-60岁",21.0
2017.0,"卫生","51-60岁",144.0
2017.0,"文体","51-60岁",16.0
2017.0,"医疗","51-60岁",5.0
2017.0,"应急","51-60岁",77.0
2017.0,"住建","51-60岁",147.0
2018.0,"财政","51-60岁",42.0
2018.0,"城管","51-60岁",100.0
2018.0,"档案","51-60岁",3.0
2018.0,"发改","51-60岁",1.0
2018.0,"工信","51-60岁",4.0
2018.0,"规自","51-60岁",98.0
2018.0,"交通","51-60岁",102.0
2018.0,"教育","51-60岁",45.0
2018.0,"科创","51-60岁",16.0
2018.0,"民政","51-60岁",12.0
2018.0,"民宗","51-60岁",2.0
2018.0,"人社","51-60岁",76.0
2018.0,"审计","51-60岁",47.0
2018.0,"生态","51-60岁",106.0
2018.0,"市监","51-60岁",706.0
2018.0,"水务","51-60岁",121.0
2018.0,"司法","51-60岁",1.0
2018.0,"统计","51-60岁",22.0
2018.0,"卫生","51-60岁",167.0
2018.0,"文体","51-60岁",17.0
2018.0,"医疗","51-60岁",6.0
2018.0,"应急","51-60岁",88.0
2018.0,"住建","51-60岁",185.0
2019.0,"财政","51-60岁",44.0
2019.0,"城管","51-60岁",107.0
2019.0,"档案","51-60岁",3.0
2019.0,"发改","51-60岁",2.0
2019.0,"工信","51-60岁",5.0
2019.0,"规自","51-60岁",101.0
2019.0,"交通","51-60岁",147.0
2019.0,"教育","51-60岁",45.0
2019.0,"科创","51-60岁",16.0
2019.0,"民政","51-60岁",18.0
2019.0,"民宗","51-60岁",13.0
2019.0,"人社","51-60岁",81.0
2019.0,"审计","51-60岁",48.0
2019.0,"生态","51-60岁",106.0
2019.0,"市监","51-60岁",717.0
2019.0,"水务","51-60岁",126.0
2019.0,"司法","51-60岁",5.0
2019.0,"统计","51-60岁",24.0
2019.0,"卫生","51-60岁",175.0
2019.0,"文体","51-60岁",17.0
2019.0,"医疗","51-60岁",25.0
2019.0,"应急","51-60岁",101.0
2019.0,"住建","51-60岁",207.0
2016.0,"规自","61岁以上",0.0
2016.0,"市监","61岁以上",0.0
2016.0,"水务","61岁以上",0.0
2016.0,"住建","61岁以上",0.0
2017.0,"规自","61岁以上",1.0
2017.0,"市监","61岁以上",1.0
2017.0,"水务","61岁以上",1.0
2017.0,"住建","61岁以上",1.0
2018.0,"规自","61岁以上",2.0
2018.0,"市监","61岁以上",1.0
2018.0,"水务","61岁以上",1.0
2018.0,"住建","61岁以上",1.0
2019.0,"规自","61岁以上",2.0
2019.0,"市监","61岁以上",1.0
2019.0,"水务","61岁以上",1.0
2019.0,"住建","61岁以上",1.0
