"YEAR","PEO_ENFORCE_HANGYE","ENFORCEPEO_SEX","SUM(*)"
2017.0,"金融","女",0.0
2017.0,"科创","女",14.0
2017.0,"民政","女",29.0
2017.0,"民宗","女",1.0
2017.0,"人社","女",104.0
2017.0,"审计","女",124.0
2017.0,"生态","女",76.0
2017.0,"事单","女",2.0
2017.0,"市监","女",711.0
2017.0,"水务","女",75.0
2017.0,"司法","女",10.0
2017.0,"统计","女",53.0
2017.0,"退役","女",0.0
2017.0,"卫生","女",230.0
2017.0,"文体","女",15.0
2017.0,"医疗","女",12.0
2017.0,"应急","女",240.0
2017.0,"住建","女",129.0
2018.0,"财政","女",94.0
2018.0,"城管","女",90.0
2018.0,"档案","女",3.0
2018.0,"发改","女",4.0
2018.0,"工信","女",28.0
2018.0,"规自","女",197.0
2018.0,"交通","女",163.0
2018.0,"教育","女",58.0
2018.0,"金融","女",2.0
2018.0,"科创","女",22.0
2018.0,"民政","女",45.0
2018.0,"民宗","女",8.0
2018.0,"人社","女",138.0
2018.0,"审计","女",139.0
2018.0,"生态","女",96.0
2018.0,"事单","女",4.0
2018.0,"市监","女",844.0
2018.0,"水务","女",91.0
2018.0,"司法","女",22.0
2018.0,"统计","女",59.0
2018.0,"退役","女",0.0
2018.0,"卫生","女",301.0
2018.0,"文体","女",18.0
2018.0,"医疗","女",21.0
2018.0,"应急","女",398.0
2018.0,"住建","女",198.0
2019.0,"财政","女",105.0
2019.0,"城管","女",103.0
2019.0,"档案","女",4.0
2019.0,"发改","女",4.0
2019.0,"工信","女",30.0
2019.0,"规自","女",211.0
2019.0,"交通","女",220.0
2019.0,"教育","女",66.0
2019.0,"金融","女",2.0
2019.0,"科创","女",22.0
2019.0,"民政","女",49.0
2019.0,"民宗","女",14.0
2019.0,"人社","女",158.0
2019.0,"审计","女",156.0
2019.0,"生态","女",100.0
2019.0,"事单","女",5.0
2019.0,"市监","女",860.0
2019.0,"水务","女",102.0
2019.0,"司法","女",27.0
2019.0,"统计","女",77.0
2019.0,"退役","女",1.0
2019.0,"卫生","女",329.0
2019.0,"文体","女",18.0
2019.0,"医疗","女",49.0
2019.0,"应急","女",411.0
2019.0,"住建","女",256.0
